Year	Los Angeles	San Francisco	San Diego	Seattle	Phoenix
2004	55760.0	60992.0	59805.0	50313.0	54027.0
2005	58404.0	66344.0	62321.0	55544.0	53570.0
2006	60932.0	69559.0	54648.0	59384.0	57657.0
2007	58404.0	66344.0	62321.0	55544.0	53570.0
2008	56529.0	67730.0	53820.0	66015.0	53618.0
2009	54576.0	67360.0	52012.0	65317.0	49016.0
2010	54576.0	67360.0	52012.0	65317.0	49016.0
2011	55312.0	73601.0	56205.0	60674.0	53735.0
2012	55852.0	70807.0	60279.0	63759.0	54168.0
2013	55546.0	68765.0	63189.0	64933.0	51269.0
2014	58388.0	71433.0	71039.0	69017.0	55118.0
2015	64321.0	75380.0	77299.0	74723.0	59873.0
2016	66971.0	79291.0	79585.0	83790.0	62072.0
2017	68129.0	80733.0	79672.0	84864.0	66908.0
