Year,Coal Consumption,Natural Gas Consumption (Excluding Supplemental Gaseous Fuels),Petroleum Consumption,Nuclear Electric Power Consumption,Total Renewable Energy Consumption,Total Primary Energy Consumption
1949,11.980905,5.145142,11.882722,0,2.973984,31.981503
1950,12.347109,5.968371,13.315484,0,2.977718,34.615768
1951,12.552996,7.048518,14.428043,0,2.958464,36.97403
1952,11.306479,7.549621,14.955682,0,2.940181,36.747825
1953,11.372684,7.906645,15.555829,0,2.83146,37.664468
1954,9.714667,8.330202,15.839176,0,2.754099,36.639382
1955,11.167259,8.997935,17.254955,0,2.783987,40.207971
1956,11.349723,9.613975,17.937473,0,2.850582,41.754252
1957,10.820631,10.190753,17.931667,0.000112,2.849194,41.787186
1958,9.533287,10.663199,18.526937,0.001915,2.91509,41.645028
1959,9.518353,11.717422,19.32265,0.002187,2.901339,43.465722
1960,9.837785,12.385366,19.91923,0.006026,2.928204,45.086455
1961,9.623351,12.926392,20.216387,0.019678,2.952226,45.737837
1962,9.906454,13.730841,21.048981,0.026394,3.117444,47.826437
1963,10.412538,14.403306,21.700828,0.038147,3.096431,49.644195
1964,10.964385,15.28785,22.301257,0.039819,3.225248,51.814788
1965,11.580608,15.768667,23.24568,0.043164,3.395816,54.015001
1966,12.14308,16.995332,24.400523,0.064158,3.432462,57.014332
1967,11.91375,17.944788,25.283661,0.088456,3.690213,58.904521
1968,12.330677,19.209656,26.979447,0.141534,3.772656,62.414507
1969,12.38154,20.677984,28.338336,0.153722,4.094892,65.61402
1970,12.264528,21.794707,29.520695,0.239347,4.070021,67.838325
1971,11.598411,22.469052,30.56129,0.412939,4.262213,69.282843
1972,12.076917,22.69819,32.946738,0.583752,4.382009,72.687867
1973,12.97149,22.512399,34.837435,0.910177,4.410938,75.68369
1974,12.662878,21.732488,33.45366,1.272083,4.741852,73.962369
1975,12.662786,19.947883,32.732323,1.899798,4.68712,71.964553
1976,13.584067,20.345426,35.177782,2.111121,4.727151,75.974826
1977,13.922103,19.930513,37.12398,2.701762,4.208966,77.96133
1978,13.765575,20.0004,37.962821,3.024126,5.00544,79.950406
1979,15.039586,20.665817,37.122274,2.775827,5.122854,80.858584
1980,15.422809,20.235459,34.20452,2.739169,5.428342,78.066668
1981,15.907526,19.74731,31.932206,3.007589,5.413688,76.105776
1982,15.321581,18.356222,30.232226,3.131148,5.979637,73.099185
1983,15.894442,17.220836,30.052216,3.202549,6.495612,72.970566
1984,17.070622,18.393613,31.053237,3.552531,6.437864,76.631701
1985,17.478428,17.703482,30.924732,4.075563,6.084017,76.392385
1986,17.260405,16.591364,32.19826,4.380109,6.11114,76.647005
1987,18.008451,17.639801,32.863733,4.753933,5.621807,79.054456
1988,18.846312,18.448393,34.222795,5.586968,5.456754,82.709172
1989,19.069762,19.601693,34.209296,5.602161,6.234601,84.785367
1990,19.172635,19.603167,33.551623,6.10435,6.03996,84.484401
1991,18.99167,20.032958,32.846032,6.422132,6.067713,84.437159
1992,19.122471,20.713632,33.524957,6.479206,5.820478,85.782103
1993,19.835148,21.228902,33.68724,6.410499,6.081549,87.365358
1994,19.909463,21.728067,34.557545,6.693877,5.987046,89.087263
1995,20.088727,22.671139,34.441046,7.075436,6.559259,91.030524
1996,21.001914,23.084647,35.674967,7.086674,7.012268,94.020426
1997,21.445411,23.222716,36.15848,6.596992,7.013983,94.600225
1998,21.655744,22.830226,36.817372,7.067809,6.491138,95.017608
1999,21.622544,22.909227,37.836036,7.610256,6.513563,96.648242
2000,22.579528,23.823977,38.265934,7.862349,6.104026,98.816377
2001,21.914268,22.772558,38.189656,8.028853,5.159712,96.169463
2002,21.903989,23.510081,38.225566,8.145429,5.725819,97.643238
2003,22.320928,22.830642,38.789798,7.959622,5.943815,97.917225
2004,22.466195,22.923061,40.226667,8.222774,6.074303,100.08936
2005,22.796543,22.565364,40.302834,8.16081,6.232923,100.187209
2006,22.44716,22.238738,39.823636,8.214626,6.635952,99.483749
2007,22.749466,23.662759,39.490782,8.458589,6.521821,101.015241
2008,22.387437,23.842953,36.90682,8.426491,7.172624,98.889084
2009,19.691205,23.41594,34.95905,8.35522,7.601596,94.115389
2010,20.833968,24.574754,35.488766,8.434433,8.026577,97.44096
2011,19.657784,24.954539,34.823508,8.268698,8.993537,96.836271
2012,17.378234,26.088582,34.015932,8.061822,8.697585,94.407394
2013,18.038633,26.805134,34.613246,8.244433,9.263683,97.145179
2014,17.997632,27.487804,34.8811,8.337559,9.542104,98.406199
2015,15.571021,28.311199,35.373108,8.33768,9.555606,97.357586
2016,14.226519,28.419428,35.94246,8.422112,10.160761,97.394271
