Year	Los Angeles	San Francisco	Phoenix	San Diego	Seattle
2004	7062.0	7581.0	6904.0	6437.0	6377.0
2005	7222.0	7942.0	7187.0	6238.0	6887.0
2006	7785.0	8369.0	7156.0	5312.0	6486.0
2007	7222.0	7942.0	7187.0	6238.0	6887.0
2008	7531.0	7952.0	6402.0	6541.0	8082.0
2009	7182.0	7920.0	6583.0	5831.0	7174.0
2010	7182.0	7920.0	6583.0	5831.0	7174.0
2011	7504.0	8433.0	6985.0	6744.0	7776.0
2012	7510.0	8401.0	7358.0	6915.0	8265.0
2013	7278.0	8152.0	7137.0	6936.0	7958.0
2014	7235.0	8612.0	7167.0	7440.0	8929.0
2015	7984.0	8644.0	7269.0	8834.0	10178.0
2016	8727.0	8918.0	6856.0	9984.0	10958.0
2017	8974.0	10146.0	7817.0	10613.0	11412.0
