Year,Coal Production,Natural Gas (Dry) Production,Crude Oil Production,Nuclear Electric Power Production,Total Renewable Energy Production,Total Primary Energy Production
1949,11.973882,6.091042,10.683252,0,2.973984,31.72216
1950,14.060135,7.055803,11.446729,0,2.977718,35.540384
1951,14.419325,8.336102,13.036724,0,2.958464,38.750615
1952,12.734313,8.96137,13.281049,0,2.940181,37.916913
1953,12.277746,9.400515,13.671076,0,2.83146,38.180796
1954,10.542448,9.794952,13.42693,0,2.754099,36.51843
1955,12.369608,10.584389,14.409682,0,2.783987,40.147667
1956,13.306334,11.284877,15.180241,0,2.850582,42.622033
1957,13.061393,11.894065,15.178026,0.000112,2.849194,42.98279
1958,10.783088,12.229109,14.204125,0.001915,2.91509,40.133327
1959,10.777984,13.334609,14.932622,0.002187,2.901339,41.948742
1960,10.817398,14.117107,14.934611,0.006026,2.928204,42.803347
1961,10.447091,14.653848,15.206196,0.019678,2.952226,43.27904
1962,10.90056,15.309429,15.521896,0.026394,3.117444,44.875724
1963,11.849229,16.222159,15.965793,0.038147,3.096431,47.171759
1964,12.523881,17.101502,16.163568,0.039819,3.225248,49.054018
1965,13.055285,17.658236,16.521381,0.043164,3.395816,50.673882
1966,13.467679,19.006663,17.561025,0.064158,3.432462,53.531987
1967,13.825487,20.120342,18.651304,0.088456,3.690213,56.375801
1968,13.608678,21.389065,19.308444,0.141534,3.772656,58.220376
1969,13.863346,22.866067,19.556156,0.153722,4.094892,60.534182
1970,14.607064,24.177798,20.40121,0.239347,4.070021,63.495439
1971,13.185523,24.823335,20.032701,0.412939,4.262213,62.716712
1972,14.091685,24.805084,20.041134,0.583752,4.382009,63.903664
1973,13.992126,24.756128,19.493237,0.910177,4.410938,63.562605
1974,14.074451,23.681314,18.574993,1.272083,4.741852,62.344692
1975,14.989315,22.01464,17.729318,1.899798,4.68712,61.320191
1976,15.653687,21.807365,17.261844,2.111121,4.727151,61.561168
1977,15.754741,21.892304,17.453737,2.701762,4.208966,62.011511
1978,14.909809,21.730657,18.433653,3.024126,5.00544,63.103684
1979,17.539583,22.362428,18.103598,2.775827,5.122854,65.90429
1980,18.597726,22.16123,18.248917,2.739169,5.428342,67.175384
1981,18.376773,22.006537,18.146019,3.007589,5.413688,66.950606
1982,18.638773,20.510102,18.308947,3.131148,5.979637,66.568607
1983,17.246671,18.777496,18.391794,3.202549,6.495612,64.114122
1984,19.719216,20.281703,18.848237,3.552531,6.437864,68.83955
1985,19.325166,19.221151,18.992407,4.075563,6.084017,67.698304
1986,19.509466,18.689903,18.375862,4.380109,6.11114,67.06648
1987,20.141104,19.350854,17.674787,4.753933,5.621807,67.542485
1988,20.737639,19.858427,17.278931,5.586968,5.456754,68.918719
1989,21.360178,20.005617,16.116883,5.602161,6.234601,69.319441
1990,22.487548,20.500869,15.571185,6.10435,6.03996,70.703913
1991,21.636424,20.534476,15.700826,6.422132,6.067713,70.361573
1992,21.694132,20.738061,15.222863,6.479206,5.820478,69.954742
1993,20.335654,20.992039,14.49439,6.410499,6.081823,68.314405
1994,22.202083,21.738992,14.102563,6.693877,5.987046,70.724562
1995,22.12955,21.523828,13.886757,7.075436,6.557199,71.17277
1996,22.790148,21.874178,13.722899,7.086674,7.010763,72.484662
1997,23.309614,21.889058,13.65802,6.596992,7.016671,72.470354
1998,24.045198,22.033754,13.23513,7.067809,6.492578,72.874469
1999,23.295084,21.868352,12.451046,7.610256,6.515405,71.740142
2000,22.735478,22.272445,12.358101,7.862349,6.10146,71.329833
2001,23.54708,22.712703,12.281566,8.028853,5.161518,71.73172
2002,22.732237,21.941223,12.160213,8.145429,5.730605,70.709707
2003,22.093652,21.979564,11.959568,7.959622,5.942122,69.934528
2004,22.852099,21.540104,11.550145,8.222774,6.062248,70.22737
2005,23.185189,20.889857,10.974152,8.16081,6.220179,69.430186
2006,23.78951,21.377542,10.768316,8.214626,6.585327,70.735321
2007,23.492742,22.194798,10.748812,8.458589,6.509078,71.404018
2008,23.851368,23.122242,10.616413,8.426491,7.189482,73.205995
2009,21.623721,23.713232,11.334597,8.35522,7.618183,72.644953
2010,22.038226,24.587051,11.591783,8.434433,8.073335,74.724828
2011,22.221407,26.375872,11.934129,8.268698,9.089432,77.889539
2012,20.676893,27.855915,13.746661,8.061822,8.73422,79.075511
2013,20.001304,28.391298,15.780535,8.244433,9.237442,81.655012
2014,20.285705,30.648216,18.434174,8.337559,9.578682,87.284338
2015,17.946095,28.060704,19.632312,8.336886,9.487408,88.030894
2016,14.577842,27.411845,18.534208,8.422112,10.220185,83.901281
