Year	Los Angeles	San Francisco	San Diego	Seattle	Phoenix
2004	65810.0	86935.0	69067.0	56702.0	63888.0
2005	70847.0	90781.0	73846.0	65672.0	65520.0
2006	76384.0	86112.0	73604.0	67923.0	68070.0
2007	70847.0	90781.0	73846.0	65672.0	65520.0
2008	68749.0	91330.0	67554.0	79874.0	65128.0
2009	69782.0	90270.0	76848.0	80701.0	54986.0
2010	69782.0	90270.0	76848.0	80701.0	54986.0
2011	69562.0	98242.0	76358.0	74072.0	63167.0
2012	70900.0	92846.0	77112.0	80067.0	60326.0
2013	69118.0	92780.0	77805.0	87176.0	57111.0
2014	72360.0	101998.0	86001.0	88351.0	72130.0
2015	76721.0	118098.0	93466.0	104475.0	79380.0
2016	76471.0	124002.0	99931.0	117844.0	73834.0
2017	82119.0	122977.0	100327.0	117499.0	71250.0
