Year	Item	Los Angeles	San Francisco	San Diego	Seattle	Phoenix
2004	Children under 18	0.3	0.3	0.4	0.3	0.2
2005	Children under 18	0.3	0.3	0.3	0.2	0.2
2006	Children under 18	0.3	0.3	0.3	0.2	0.2
2007	Children under 18	0.3	0.3	0.3	0.2	0.2
2008	Children under 18	0.3	0.2	0.3	0.2	0.2
2009	Children under 18	0.3	0.2	0.3	0.3	0.2
2010	Children under 18	0.3	0.2	0.3	0.3	0.2
2011	Children under 18	0.3	0.3	0.4	0.3	0.3
2012	Children under 18	0.3	0.3	0.4	0.4	0.3
2013	Children under 18	0.3	0.3	0.3	0.3	0.3
2014	Children under 18	0.3	0.3	0.3	0.3	0.3
2015	Children under 18	0.3	0.3	0.3	0.3	0.3
2016	Children under 18	0.3	0.4	0.3	0.3	0.4
2017	Children under 18	0.3	0.4	0.4	0.2	0.4
